,time,path_4,path_2,path_0,path_1,path_3,path_7,path_5,logo,alias,path_6
0,2021-04-03 12:35:52.215000+00:00,False,False,True,True,False,False,False,path/logo_303_path_full.svg,Tim ,False
1,2021-04-03 12:41:19.713000+00:00,False,False,True,False,False,False,False,path/logo_283_path_full.svg,Sarah,False
2,,False,False,False,False,False,False,False,path/logo_162_path_full.svg,TestJani,False
3,,False,False,False,False,False,False,False,path/logo_3_path_full.svg,Jonas,False
4,2021-04-04 09:40:41.165000+00:00,False,False,True,False,False,False,False,path/logo_308_path_full.svg,Kim,False
5,2021-04-03 14:44:26.774000+00:00,False,False,False,False,False,False,False,path/logo_274_path_full.svg,Löschen,False
6,,False,False,True,False,False,False,False,path/logo_32_path_full.svg,Tim,False
7,,False,False,False,False,False,False,False,path/logo_181_path_full.svg,TestJani,False
8,2021-04-03 14:43:46.381000+00:00,False,False,False,False,False,False,False,path/logo_256_path_full.svg,Löschen,False
9,,False,True,False,True,True,False,False,path/logo_119_path_full.svg,rebecca,False
10,,False,False,True,False,False,False,False,path/logo_37_path_full.svg,Niklas,False
11,2021-04-04 09:42:35.558000+00:00,False,False,True,False,False,False,False,path/logo_329_path_full.svg,Kim,False
12,2021-04-03 12:41:42.165000+00:00,False,False,True,True,False,False,False,path/logo_290_path_full.svg,Sarah,False
13,,True,False,True,True,False,False,True,path/logo_154_path_full.svg,Jani,False
14,,False,False,False,False,False,False,False,path/logo_230_path_full.svg,Ramo,False
15,2021-04-03 11:54:30.971000+00:00,False,False,True,False,False,False,False,path/logo_418_path_full.svg,Jakob,False
16,,False,True,True,True,True,False,False,path/logo_119_path_full.svg,Niklas,False
17,,False,True,True,True,False,False,False,path/logo_93_path_full.svg,rebecca,False
18,,False,True,True,True,False,False,False,path/logo_22_path_full.svg,Lena,False
19,,False,False,True,True,False,False,False,path/logo_187_path_full.svg,Tim_Harry,False
20,,False,False,False,False,False,False,False,path/logo_35_path_full.svg,rebecca,False
21,,False,True,True,True,False,False,False,path/logo_128_path_full.svg,Lena,False
22,,False,False,False,False,False,False,False,path/logo_151_path_full.svg,TestJani,False
23,,True,True,True,True,True,False,True,path/logo_0_path_full.svg,Lena,True
24,2021-04-03 12:57:11.995000+00:00,False,False,True,False,False,False,False,path/logo_406_path_full.svg,Jan B.,False
25,2021-04-03 12:41:56.605000+00:00,False,False,False,False,True,False,False,path/logo_292_path_full.svg,Sarah,False
26,,False,False,False,False,True,False,False,path/logo_0_path_full.svg,,True
27,2021-04-03 11:54:41.419000+00:00,False,False,True,False,False,False,False,path/logo_423_path_full.svg,Jakob,False
28,,True,False,False,False,True,True,True,path/logo_170_path_full.svg,Sarah_240321,True
29,2021-04-04 09:42:01.038000+00:00,False,False,True,False,False,False,False,path/logo_322_path_full.svg,Kim,False
30,,True,True,True,True,True,False,False,path/logo_102_path_full.svg,Jani,False
31,,False,False,True,True,False,False,False,path/logo_38_path_full.svg,Tim_Harry,False
32,2021-04-03 14:48:16.899000+00:00,False,False,False,False,False,False,False,path/logo_413_path_full.svg,Löschen,False
33,,False,True,True,True,False,False,False,path/logo_156_path_full.svg,Jonathan,False
34,2021-04-04 07:38:13.582000+00:00,False,False,True,False,False,False,False,path/logo_228_path_full.svg,Rebecca,False
35,,True,True,False,False,True,False,True,path/logo_88_path_full.svg,Sarah_240321,False
36,2021-04-03 12:44:31.621000+00:00,False,True,True,True,False,False,False,path/logo_330_path_full.svg,Sarah,False
37,2021-04-03 14:45:20.777000+00:00,False,False,False,False,False,False,False,path/logo_300_path_full.svg,Löschen,False
38,2021-04-03 12:25:21.681000+00:00,False,True,True,True,True,True,False,path/logo_193_path_full.svg,Tim ,False
39,,False,False,True,True,False,True,False,path/logo_145_path_full.svg,Sarah_240321,True
40,2021-04-04 07:53:45.118000+00:00,False,False,True,False,False,False,False,path/logo_425_path_full.svg,Rebecca,False
41,,False,False,False,False,False,False,False,path/logo_171_path_full.svg,TestJani,False
42,2021-04-04 07:51:08.486000+00:00,False,False,False,False,False,False,False,path/logo_388_path_full.svg,Rebecca,False
43,,False,False,True,True,False,False,False,path/logo_165_path_full.svg,Tim_Harry,False
44,,False,True,True,True,False,False,False,path/logo_149_path_full.svg,Sarah_240321,False
45,,False,False,False,True,False,False,False,path/logo_75_path_full.svg,Kikipu,True
46,,False,False,True,False,False,False,False,path/logo_144_path_full.svg,Jakob,False
47,,False,False,True,False,False,False,False,path/logo_173_path_full.svg,rebecca,False
48,,False,True,True,True,False,False,False,path/logo_0_path_full.svg,test,False
49,,False,False,True,False,False,False,False,path/logo_58_path_full.svg,rebecca,False
50,,False,False,True,False,False,False,False,path/logo_161_path_full.svg,rebecca,False
51,2021-04-03 12:28:36.282000+00:00,False,False,True,False,False,False,False,path/logo_218_path_full.svg,Tim ,False
52,2021-04-03 12:41:59.563000+00:00,False,False,False,False,False,False,False,path/logo_293_path_full.svg,Sarah,False
53,2021-04-04 09:34:55.596000+00:00,False,False,True,True,False,False,False,path/logo_252_path_full.svg,Kim,False
54,,False,False,True,False,False,False,False,path/logo_27_path_full.svg,Ramo,False
55,,False,False,False,False,False,True,True,path/logo_50_path_full.svg,Lena,True
56,,False,False,False,False,False,False,False,path/logo_76_path_full.svg,rebecca,False
57,2021-04-03 12:49:48.118000+00:00,False,False,True,True,False,False,False,path/logo_412_path_full.svg,Sarah,False
58,,True,False,False,False,True,True,True,path/logo_113_path_full.svg,Kikipu,True
59,,False,False,True,False,False,False,False,path/logo_12_path_full.svg,Jakob,False
60,2021-04-03 11:47:34.759000+00:00,False,False,True,False,False,False,False,path/logo_277_path_full.svg,Jakob,False
61,2021-04-03 14:45:37.853000+00:00,False,False,False,False,False,False,False,path/logo_304_path_full.svg,Löschen,False
62,2021-04-04 07:37:28.677000+00:00,False,True,True,True,False,False,False,path/logo_217_path_full.svg,Rebecca,False
63,,False,False,True,False,False,False,False,path/logo_180_path_full.svg,Tim_Harry,False
64,,False,True,True,True,True,False,True,path/logo_124_path_full.svg,Sarah_240321,False
65,,False,False,False,False,False,True,True,path/logo_54_path_full.svg,Lena,True
66,,False,True,True,True,False,False,False,path/logo_25_path_full.svg,Julia,False
67,,True,False,False,False,True,False,True,path/logo_42_path_full.svg,Tim,False
68,2021-04-03 14:39:51.910000+00:00,False,False,False,False,False,False,False,path/logo_196_path_full.svg,Löschen,False
69,,True,True,True,True,True,False,False,path/logo_50_path_full.svg,Jonathan,False
70,,False,False,False,False,False,False,False,path/logo_121_path_full.svg,TestJani,False
71,,False,False,True,False,False,False,False,path/logo_27_path_full.svg,Jakob,False
72,,False,False,True,False,False,False,False,path/logo_101_path_full.svg,Julia,False
73,2021-04-03 12:43:02.214000+00:00,False,False,True,True,False,False,False,path/logo_309_path_full.svg,Sarah,False
74,,False,False,True,True,False,False,False,path/logo_165_path_full.svg,Ramo,False
75,,False,False,True,True,False,False,False,path/logo_125_path_full.svg,Tim_Harry,False
76,,False,False,True,False,False,True,True,path/logo_48_path_full.svg,Jani,True
77,,False,False,True,False,False,False,False,path/logo_62_path_full.svg,Lena,False
78,2021-04-04 09:35:19.094000+00:00,False,False,False,False,False,False,False,path/logo_257_path_full.svg,Kim,False
79,2021-04-04 09:27:32.913000+00:00,False,False,True,False,False,False,False,path/logo_222_path_full.svg,Kim,False
80,,False,False,False,False,False,True,True,path/logo_48_path_full.svg,Ramo,True
81,2021-04-04 09:46:31.971000+00:00,False,False,True,False,False,False,False,path/logo_368_path_full.svg,Kim,False
82,2021-04-03 12:33:33.179000+00:00,True,True,True,True,True,True,True,path/logo_433_path_full.svg,Jonathan,True
83,,False,True,False,False,False,False,False,path/logo_177_path_full.svg,Julia,False
84,,False,False,True,True,False,False,False,path/logo_165_path_full.svg,Niklas,False
85,2021-04-04 07:38:49.901000+00:00,False,False,False,False,False,False,False,path/logo_237_path_full.svg,Rebecca,False
86,,False,True,True,True,False,False,False,path/logo_117_path_full.svg,Niklas,False
87,,False,False,True,True,False,False,False,path/logo_6_path_full.svg,Jakob,False
88,,False,False,True,False,False,False,False,path/logo_187_path_full.svg,Kikipu,False
89,,True,False,False,False,False,True,True,path/logo_86_path_full.svg,Jonathan,True
90,2021-04-03 11:53:33.020000+00:00,False,False,True,False,False,False,False,path/logo_395_path_full.svg,Jakob,False
91,,False,True,False,True,False,False,False,path/logo_138_path_full.svg,Julia,False
92,,False,False,True,False,False,False,False,path/logo_61_path_full.svg,Kikipu,False
93,,True,False,False,False,True,False,False,path/logo_134_path_full.svg,Kikipu,False
94,,False,False,False,True,False,False,False,path/logo_19_path_full.svg,Kikipu,False
95,,False,True,True,False,False,False,False,path/logo_52_path_full.svg,Kikipu,False
96,2021-04-03 12:56:07.315000+00:00,False,False,True,False,False,False,False,path/logo_396_path_full.svg,Jan B.,False
97,2021-04-03 12:50:30.745000+00:00,False,False,True,False,False,False,False,path/logo_424_path_full.svg,Sarah,False
98,2021-04-03 12:42:41.187000+00:00,False,True,True,True,False,False,False,path/logo_390_path_full.svg,Tim ,False
99,,False,True,True,False,True,False,False,path/logo_167_path_full.svg,Niklas,False
100,2021-04-03 12:30:58.876000+00:00,False,False,True,True,False,False,True,path/logo_241_path_full.svg,Tim ,False
101,2021-04-03 14:46:24.875000+00:00,False,False,False,False,False,False,False,path/logo_321_path_full.svg,Löschen,False
102,2021-04-03 12:37:31.397000+00:00,False,False,True,False,False,False,False,path/logo_222_path_full.svg,Sarah,False
103,,False,False,False,False,False,False,False,path/logo_54_path_full.svg,Jonathan,False
104,,False,True,False,True,True,False,False,path/logo_175_path_full.svg,Niklas,False
105,,True,True,True,True,True,True,True,path/logo_101_path_full.svg,Niklas,True
106,2021-04-03 12:23:53.992000+00:00,False,True,True,True,False,False,False,path/logo_342_path_full.svg,Jonathan,False
107,,False,False,True,True,False,True,False,path/logo_151_path_full.svg,Ramo,False
