path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,logo_id,animation_id,animation_file
False,True,False,False,False,False,True,True,316,0,animation/logo_316_animation_0.svg
False,True,False,False,False,False,True,True,316,1,animation/logo_316_animation_1.svg
False,False,False,False,False,False,True,True,316,2,animation/logo_316_animation_2.svg
False,True,False,True,False,False,True,True,316,3,animation/logo_316_animation_3.svg
True,True,False,False,True,False,True,True,316,4,animation/logo_316_animation_4.svg
False,True,True,False,False,False,True,True,316,5,animation/logo_316_animation_5.svg
True,True,False,False,False,False,True,True,316,6,animation/logo_316_animation_6.svg
False,True,False,True,False,False,True,True,316,7,animation/logo_316_animation_7.svg
True,True,False,False,False,False,True,True,316,8,animation/logo_316_animation_8.svg
False,True,False,False,False,False,True,True,316,9,animation/logo_316_animation_9.svg
False,False,False,False,False,False,True,True,316,10,animation/logo_316_animation_10.svg
False,False,False,False,False,False,True,True,316,11,animation/logo_316_animation_11.svg
False,True,False,False,True,False,True,True,316,12,animation/logo_316_animation_12.svg
False,False,True,True,False,False,True,True,316,13,animation/logo_316_animation_13.svg
False,True,False,False,True,False,True,True,316,14,animation/logo_316_animation_14.svg
True,False,False,False,False,False,True,True,316,15,animation/logo_316_animation_15.svg
False,True,False,False,False,False,True,True,316,16,animation/logo_316_animation_16.svg
False,True,False,False,False,False,True,True,316,17,animation/logo_316_animation_17.svg
False,True,False,True,False,True,True,True,316,18,animation/logo_316_animation_18.svg
False,True,False,False,False,False,True,True,316,19,animation/logo_316_animation_19.svg
False,True,True,False,False,False,True,True,316,20,animation/logo_316_animation_20.svg
False,False,False,False,False,False,True,True,316,21,animation/logo_316_animation_21.svg
False,True,True,False,False,False,True,True,316,22,animation/logo_316_animation_22.svg
False,True,False,False,False,False,True,True,316,23,animation/logo_316_animation_23.svg
True,True,False,False,True,False,True,True,316,24,animation/logo_316_animation_24.svg
True,True,True,False,False,False,False,False,378,0,animation/logo_378_animation_0.svg
